Plot #,Block,Sub-block,H2O,Sp comp,Fertilization,Clipping,08 Avena,08 Lolium,08 Bromus h,08 Trifolium,08 Aegilops,08 Taeniatherum,08 Bromus c,08 Elymus,08 Leymus,08 Nassella,08 Poa,08 Vulpia,08 Lotus,08 Lupinus,08 Centaurea,08 Litter,08 bare,08 disturbance,08 annual,08 waps,08 natives,08 total,09Avena,09Lolium,09Bromus h,09Trifolium,09Aegilops,09Taeniatherum,09Bromus c,09Elymus,09Leymus,09Nassella,09Poa,09Vulpia,09Lotus,09Lupinus,09Centaurea,09Litter,09bare,09disturbance,09annual,09waps,09native,09 total,10Avena,10Lolium,10Bromus h,10Trifolium,10Aegilops,10Taeniatherum,10Bromus c,10Elymus,10Leymus,10Nassella,10Poa,10Vulpia,10Lotus,10Lupinus,10Centaurea,10Bromusdiandrus,10Lactucaserriola,10Vicia,10Hordeum sp.,10Epilobiumbrachyantherum,10Helann,10capbur,10conarv,10weeds,10phalaris sp.,10unk. Thistle,10Litter,10bare,10disturbance,10 annuals,10 waps,10 natives,10 other weeds,10 total,11Avena,11Lolium,11Bromus h,11Trifolium,11Aegilops,11Taeniatherum,11Bromus c,11Elymus,11Leymus,11Nassella,11Poa,11Vulpia,11Lotus,11Lupinus,11Centaurea,11Bromusdiandrus,11weeds,11Litter,11bare,11disturbance,11vetch,11annuals,11 waps,11 natives,11 other weeds,11 total,12Avena,12Lolium,12Bromus h,12Trifolium,12Aegilops,12Taeniatherum,12Bromus c,12Elymus,12Leymus,12Nassella,12Poa,12Vulpia,12Lotus,12Lupinus,12Centaurea,12Bromusdiandrus,12weeds,12hordeum,12amsinckia,12orchard grass,12vetch,12Litter,12bare,12disturbance,12 annuals,12 waps,12 natives,12 other weeds,12 total,13Avena,13Lolium,13Bromus h,13Trifolium,13Aegilops,13Taeniatherum,13Bromus c,13Elymus,13Leymus,13Nassella,13Poa,13Vulpia,13Lotus,13Lupinus,13Centaurea,13Bromusdiandrus,13weeds,13Litter,13bare,13disturbance,13vetch,13amsinckia,13annuals,13 waps,13 natives,13 other weeds,13 total,14Avena,14Lolium,14Bromus h,14Trifolium,14Aegilops,14Taeniatherum,14Bromus c,14Elymus,14Leymus,14Nassella,14Poa,14Vulpia,14Lotus,14Lupinus,14Centaurea,14Bromusdiandrus,14weeds,14Litter,14bare,14disturbance,14vetch,14annual,14 waps,14 natives,14 other weeds,14 total,15Avena,15Lolium,15Bromus h,15Trifolium,15Aegilops,15Taeniatherum,15Bromus c,15Elymus,15Leymus,15Nassella,15poa,15Vulpia,15Lotus,15Lupinus,15Centaurea,15Bromusdiandrus,15bindweed,15hordeum,15Litter,15bare,15disturbance,15vetch,15Erodium moschatum,15Senecio,15Conyza,15Geranium,15redmaid,15Melilotus,15Galium,15other weeds,15AG- big,15AG-small,15grass,15Lactuca (broadleaf with spines down back vein),15bunchgrass,15amsinckia,15milk thistle,15helianthus,15capsella,15hordeum marinum (more like mh0,15big leaf dandelion (leaf looks like mustard),15dead grass (not senesced litter),15Veronica,15mustard,15tarweed,15orchard grass,15thistle,15bromus madritensis,15gumplant,15annual,15 an forbs,15 total annual exotic,15 waps,15 yst + waps,15 native grass,15 native forb,15 total native,15 weeds,15 total
1,1,1,late wet,annuals,none,spring clipping,12.5,25,2.5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95,12.5,2.5,2.5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,0,0,112.5,25,2.5,0,55,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,82.5,0,2.5,0,85,75,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,0,0,0,77.5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,35,0,0,0,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,2.5,0,2.5,0,55,25,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,7.5,80,0,0,87.5,2.50,0.00,0.00,0.00,75.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,25.00,27.50,87.50,87.50,0.00,0.00,0.00,0.00,115.00
2,1,1,late wet,natives +WAPS + annuals,none,fall clipping,35,12.5,2.5,12.5,2.5,12.5,12.5,12.5,12.5,0,0,0,0,12.5,0,0,0,0,62.5,15,50,127.5,65,2.5,2.5,0,12.5,2.5,2.5,12.5,0,0,0,2.5,0,2.5,0,12.5,0,0,70,15,20,105,25,2.5,0,45,12.5,12.5,2.5,2.5,0,0,2.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,12.5,72.5,25,7.5,2.5,107.5,45,12.5,12.5,2.5,2.5,45,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,47.5,12.5,0,132.5,2.5,2.5,2.5,0,2.5,65,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,67.5,2.5,0,77.5,12.5,2.5,2.5,0,12.5,35,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,47.5,2.5,0,67.5,25,2.5,2.5,0,35,12.5,12.5,12.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,30,47.5,27.5,0,105,45.00,0.00,2.50,0.00,65.00,12.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.50,2.50,50.00,77.50,77.50,2.50,0.00,2.50,2.50,132.50
3,1,1,late wet,WAPS,none,spring clipping,0,0,0,0,45,55,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,55,0,0,0,90,0,90,0,0,0,0,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,70,0,0,70,0,0,0,0,25,95,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,120,12.5,0,0,0,2.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,12.5,15,0,0,27.5,12.5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,35,0,0,47.5,55,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,55,35,0,0,90,25.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,55.00,80.00,12.50,12.50,0.00,2.50,2.50,0.00,95.00
4,1,1,late wet,Bromus carinatus,none,none,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,0,0,0,0,0,2.5,45,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,2.5,47.5,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,45,0,0,0,0,0,0,0,57.5,57.5,25,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,25,0,2.5,45,72.5,35,0,12.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,2.5,0,50,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,12.5,0,12.5,65.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.50,37.50,115.00,0.00,0.00,0.00,0.00,0.00,0.00,115.00
5,1,1,late wet,Trifolium subteranneum,none,none,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,85,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95,0,0,2.5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,25,0,79.5,0,0,2.5,82,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,75,0,0,75,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,95,95,all grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,2.5,12.5,25,0,0,0,0,0,0,0,12.5,0,85,0,0,0,37.5,27.5,37.5,0,102.5,45.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,65.00,0.00,0.00,25.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,27.50,97.50,0.00,0.00,25.00,0.00,25.00,0.00,122.50
6,1,1,late wet,Lupinus bicolor,none,none,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,55,35,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12.5,0,0,0,0,0,0,3,12.5,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,95,95,all grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,25,0,0,0,0,0,0,0,35,0,0,0,0,0,90,0,25,0,115,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,45.00,57.50,0.00,0.00,12.50,0.00,12.50,0.00,70.00
7,1,1,late wet,Leymus triticoides,none,none,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,45,0,0,0,0,0,0,55,45,100,0,0,0,0,0,0,0,0,55,2.5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,57.5,0,82.5,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,95,0,0,0,0,0,0,0,0,85,12.5,0,0,0,0,0,0,0,45,0,0,0,0,0,97.5,0,97.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,75.00,0.00,0.00,75.00,0.00,75.00,0.00,150.00
8,1,1,late wet,WAPS + annuals,none,fall clipping,12.5,45,35,12.5,2.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,105,15,0,120,25,2.5,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,40,25,0,65,2.5,2.5,0,12.5,45,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,17.5,47.5,0,0,65,12.5,0,35,55,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.5,25,0,0,127.5,0,2.5,12.5,0,35,65,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,15,100,0,0,117.5,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,110,0,0,0,0,85,35,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,120,0,0,132.5,12.50,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,85.00,25.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,25.00,65.00,65.00,0.00,2.50,2.50,12.50,105.00
9,1,1,late wet,WAPS + annuals,high fert,fall clipping,2.5,55,35,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,105,12.5,0,117.5,25,2.5,35,2.5,35,2.5,0,0,0,0,0,0,0,0,0,0,0,0,65,37.5,0,102.5,2.5,2.5,12.5,2.5,75,35,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,110,2.5,0,132.5,12.5,2.5,12.5,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,130,0,0,157.5,0,0,12.5,0,35,65,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,100,0,0,125,2.5,0,12.5,0,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,100,0,0,115,2.5,0,12.5,0,75,2.5,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,17.5,77.5,2.5,0,97.5,12.50,0.00,2.50,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,12.50,27.50,25.00,25.00,0.00,0.00,0.00,25.00,77.50
10,1,1,late wet,Centaurea solstitialis + WAPS + annuals,none,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,25,0,0,45,35,0,0,0,0,0,0,0,0,2.5,0,0,0,27.5,80,0,110,2.5,0,2.5,2.5,35,55,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,35,0,0,7.5,90,0,0,100,12.5,0,35,0,0,75,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,47.5,75,0,0,135,0,0,0,0,24,75,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,99,0,0,101.5,0,0,0,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,2.5,0,65,12.5,2.5,0,0,0,0,0,0,0,0,12.5,0,75,0,0,0,15,77.5,2.5,0,95,2.50,0.00,12.50,0.00,25.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,95.00,0.00,0.00,35.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,60.00,77.50,25.00,25.00,2.50,0.00,2.50,0.00,105.00
