"","plot","block","subblock","water","fertilization","year","annuals","bare","dead.grass","disturbance","grass","litter","natives","other","other.weeds","total","waps","weeds","sub.block","precip.block","h2o","other.treatment","sp.trt","fert","clip","avena","bro.hordeaceous","bro.madritensis","bro.diandrus","hordeum.sp","lolium","oats","trifolium","centaurea","bro.carinatus","elymus","leymus","lotus","lupinus","nassella","poa","vulpia","bunchgrass","aegilops","taeniatherum","ag.big","ag.small","amsinckia","big.leaf.dandelion","bindweed","cap.bur","con.arv","conyza","epilobium.brach","erodium.moschatum","galium","geranium","gumplant","helianthus","italian.thistle","kickxia.elatine","lactuca.serriola","melilotus","milk.thistle","mustard","orchard.grass","phalaris.sp","redmaid","senecio","tarweed","thistle","tragopogon.porrifolius","unk.thistle","veronica","vicia"
"1",1,1,1,"latewet","none",2008,95,0,NA,0,NA,0,0,NA,NA,95,0,NA,1,"A","late wet","35","annuals","none","spring clipping",12.5,2.5,0,0,0,25,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,1,1,"latewet","none",2009,112.5,0,NA,0,NA,0,0,NA,NA,112.5,0,NA,1,"A","late wet","35","annuals","none","spring clipping",12.5,2.5,0,0,0,2.5,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,1,1,"latewet","none",2010,82.5,0,NA,35,NA,0,2.5,NA,0,85,0,0,1,"A","late wet","35","annuals","none","spring clipping",25,0,0,0,0,2.5,0,55,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,1,1,"latewet","none",2011,77.5,0,NA,0,NA,0,0,NA,0,77.5,0,0,1,"A","late wet","35","annuals","none","spring clipping",75,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,1,1,"latewet","none",2012,35,0,NA,55,NA,0,0,NA,0,35,0,0,1,"A","late wet","35","annuals","none","spring clipping",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,1,1,"latewet","none",2013,25,0,NA,0,NA,0,0,NA,0,25,0,0,1,"A","late wet","35","annuals","none","spring clipping",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1,1,1,"latewet","none",2014,7.5,0,NA,0,NA,0,0,NA,0,87.5,80,0,1,"A","late wet","35","annuals","none","spring clipping",2.5,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,1,1,"latewet","none",2015,2.5,0,0,0,NA,0,0,25,0,115,87.5,NA,1,"A","late wet","35","annuals","none","spring clipping",2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"9",1,1,1,"latewet","none",2016,25,0,0,0,0,0,12.5,NA,0,127.5,90,NA,1,"A","late wet","35","annuals","none","spring clipping",12.5,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,55,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,1,1,"latewet","none",2017,42.5,0,0,0,NA,25,0,NA,0,82.5,25,NA,1,"A","late wet","35","annuals","none","spring clipping",25,12.5,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
"11",1,1,1,"latewet","none",2018,27.5,45,0,0,35,0,0,NA,0,135,47.5,NA,1,"A","late wet","35","annuals","none","spring clipping",12.5,12.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,45,2.5,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2,1,1,"latewet","none",2008,62.5,0,NA,0,NA,0,50,NA,NA,127.5,15,NA,1,"A","late wet","7","natives+WAPS+annuals","none","fall clipping",35,2.5,0,0,0,12.5,0,12.5,0,12.5,12.5,12.5,0,12.5,0,0,0,0,2.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2,1,1,"latewet","none",2009,70,0,NA,0,NA,12.5,20,NA,NA,105,15,NA,1,"A","late wet","7","natives+WAPS+annuals","none","fall clipping",65,2.5,0,0,0,2.5,0,0,0,2.5,12.5,0,0,2.5,0,0,2.5,0,12.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2,1,1,"latewet","none",2010,72.5,0,NA,12.5,NA,0,7.5,NA,2.5,107.5,25,0,1,"A","late wet","7","natives+WAPS+annuals","none","fall clipping",25,0,0,0,0,2.5,0,45,0,2.5,2.5,0,0,0,0,2.5,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
"15",2,1,1,"latewet","none",2011,72.5,0,NA,0,NA,0,12.5,NA,0,132.5,47.5,0,1,"A","late wet","7","natives+WAPS+annuals","none","fall clipping",45,12.5,0,0,0,12.5,0,2.5,0,0,12.5,0,0,0,0,0,0,0,2.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2,1,1,"latewet","none",2012,7.5,0,NA,0,NA,0,2.5,NA,0,77.5,67.5,0,1,"A","late wet","7","natives+WAPS+annuals","none","fall clipping",2.5,2.5,0,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2,1,1,"latewet","none",2013,17.5,0,NA,0,NA,0,2.5,NA,0,67.5,47.5,0,1,"A","late wet","7","natives+WAPS+annuals","none","fall clipping",12.5,2.5,0,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,12.5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2,1,1,"latewet","none",2014,30,0,NA,0,NA,0,27.5,NA,0,105,47.5,0,1,"A","late wet","7","natives+WAPS+annuals","none","fall clipping",25,2.5,0,0,0,2.5,0,0,0,12.5,12.5,0,2.5,0,0,0,0,0,35,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2,1,1,"latewet","none",2015,47.5,65,0,0,NA,0,2.5,5,0,132.5,77.5,NA,1,"A","late wet","7","natives+WAPS+annuals","none","fall clipping",45,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,65,12.5,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
"20",2,1,1,"latewet","none",2016,95,45,0,25,0,0,60,NA,0,212.5,12.5,NA,1,"A","late wet","7","natives+WAPS+annuals","none","fall clipping",45,12.5,0,0,0,2.5,0,35,0,12.5,35,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2,1,1,"latewet","none",2017,130,0,0,0,NA,0,0,NA,0,157.5,12.5,NA,1,"A","late wet","7","natives+WAPS+annuals","none","fall clipping",25,75,0,2.5,0,2.5,0,25,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,2.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2,1,1,"latewet","none",2018,80,25,0,12.5,0,0,27.5,NA,0,157.5,35,NA,1,"A","late wet","7","natives+WAPS+annuals","none","fall clipping",12.5,55,0,12.5,0,0,0,0,0,0,25,0,0,0,2.5,0,0,0,35,0,0,0,0,0,12.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",3,1,1,"latewet","none",2008,0,0,NA,0,NA,0,0,NA,NA,100,100,NA,1,"A","late wet","18a","WAPS","none","spring clipping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",3,1,1,"latewet","none",2009,0,0,NA,0,NA,55,0,NA,NA,90,90,NA,1,"A","late wet","18a","WAPS","none","spring clipping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",3,1,1,"latewet","none",2010,0,0,NA,0,NA,45,0,NA,0,70,70,0,1,"A","late wet","18a","WAPS","none","spring clipping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
