plot,block,sub.block,precip.block,h2o,other.treatment,sp.trt,fert,clip
1,1,1,A,late wet,35,annuals,none,spring clipping
2,1,1,A,late wet,7,natives +WAPS + annuals,none,fall clipping
3,1,1,A,late wet,18a,WAPS,none,spring clipping
4,1,1,A,late wet,26,Bromus carinatus,none,none
5,1,1,A,late wet,22,Trifolium subteranneum,none,none
6,1,1,A,late wet,33a,Lupinus bicolor,none,none
7,1,1,A,late wet,28,Leymus triticoides,none,none
8,1,1,A,late wet,1,WAPS + annuals,none,fall clipping
9,1,1,A,late wet,4,WAPS + annuals,high fert,fall clipping
10,1,1,A,late wet,25,Centaurea solstitialis + WAPS + annuals,none,none
11,1,1,A,late wet,34,annuals,none,fall clipping
12,1,1,A,late wet,8,natives +WAPS + annuals,none,spring clipping
13,1,1,A,late wet,13,annuals + natives,none,none
14,1,1,A,late wet,30,Poa secunda,none,none
15,1,1,A,late wet,11,natives +WAPS + annuals,high fert,spring clipping
16,1,1,A,late wet,21,Lolium multiflorum,none,none
17,1,1,A,late wet,19,Avena fatua,none,none
18,1,1,A,late wet,32,Lotus purshianus,none,none
19,1,1,A,late wet,10,natives +WAPS + annuals,high fert,fall clipping
20,1,1,A,late wet,31,Vulpia microstachys,none,none
21,1,1,A,late wet,29,Nassella pulchra,none,none
22,1,1,A,late wet,15,annuals,none,none
23,1,1,A,late wet,24,Taeniatherum caput-medusae,none,none
24,1,1,A,late wet,27,Elymus glaucus,none,none
25,1,1,A,late wet,9,natives +WAPS + annuals,none,none
26,1,1,A,late wet,20,Bromus hordeaceus,none,none
27,1,1,A,late wet,5,WAPS + annuals,high fert,spring clipping
28,1,1,A,late wet,12,natives +WAPS + annuals,high fert,none
29,1,1,A,late wet,6,WAPS + annuals,high fert,none
30,1,1,A,late wet,2,WAPS + annuals,none,spring clipping
31,1,1,A,late wet,17,Natives,none,none
32,1,1,A,late wet,16,WAPS,none,none
33,1,1,A,late wet,14,WAPS + natives,none,none
34,1,1,A,late wet,3,WAPS + annuals,none,none
35,1,1,A,late wet,23,Aegilops triuncialis,none,none
36,1,2,,control- 2nd,35,annuals,none,spring clipping
37,1,2,,control- 2nd,20,Bromus hordeaceus,none,none
38,1,2,,control- 2nd,30,Poa secunda,none,none
39,1,2,,control- 2nd,6,WAPS + annuals,high fert,none
40,1,2,,control- 2nd,2,WAPS + annuals,none,spring clipping
41,1,2,,control- 2nd,9,natives +WAPS + annuals,none,none
42,1,2,,control- 2nd,1,WAPS + annuals,none,fall clipping
43,1,2,,control- 2nd,4,WAPS + annuals,high fert,fall clipping
44,1,2,,control- 2nd,14,WAPS + natives,none,none
45,1,2,,control- 2nd,16,WAPS,none,none
46,1,2,,control- 2nd,19,Avena fatua,none,none
47,1,2,,control- 2nd,18b,Bare,none,none
48,1,2,,control- 2nd,7,natives +WAPS + annuals,none,fall clipping
49,1,2,,control- 2nd,5,WAPS + annuals,high fert,spring clipping
50,1,2,,control- 2nd,12,natives +WAPS + annuals,high fert,none
51,1,2,,control- 2nd,25,Centaurea solstitialis + WAPS + annuals,none,none
52,1,2,,control- 2nd,34,annuals,none,fall clipping
53,1,2,,control- 2nd,31,Vulpia microstachys,none,none
54,1,2,,control- 2nd,23,Aegilops triuncialis,none,none
55,1,2,,control- 2nd,11,natives +WAPS + annuals,high fert,spring clipping
56,1,2,,control- 2nd,24,Taeniatherum caput-medusae,none,none
57,1,2,,control- 2nd,3,WAPS + annuals,none,none
58,1,2,,control- 2nd,33a,Lupinus bicolor,none,none
59,1,2,,control- 2nd,10,natives +WAPS + annuals,high fert,fall clipping
60,1,2,,control- 2nd,27,Elymus glaucus,none,none
61,1,2,,control- 2nd,13,annuals + natives,none,none
62,1,2,,control- 2nd,26,Bromus carinatus,none,none
63,1,2,,control- 2nd,22,Trifolium subteranneum,none,none
64,1,2,,control- 2nd,21,Lolium multiflorum,none,none
65,1,2,,control- 2nd,28,Leymus triticoides,none,none
66,1,2,,control- 2nd,15,annuals,none,none
67,1,2,,control- 2nd,29,Nassella pulchra,none,none
68,1,2,,control- 2nd,32,Lotus purshianus,none,none
69,1,2,,control- 2nd,17,Natives,none,none
70,1,2,,control- 2nd,8,natives +WAPS + annuals,none,spring clipping
71,1,3,,control,11,natives +WAPS + annuals,high fert,spring clipping
72,1,3,,control,6,WAPS + annuals,high fert,none
73,1,3,,control,21,Lolium multiflorum,none,none
74,1,3,,control,17,Natives,none,none
75,1,3,,control,22,Trifolium subteranneum,none,none
76,1,3,,control,4,WAPS + annuals,high fert,fall clipping
77,1,3,,control,1,WAPS + annuals,none,fall clipping
78,1,3,,control,31,Vulpia microstachys,none,none
79,1,3,,control,28,Leymus triticoides,none,none
80,1,3,,control,9,natives +WAPS + annuals,none,none
81,1,3,,control,24,Taeniatherum caput-medusae,none,none
82,1,3,,control,5,WAPS + annuals,high fert,spring clipping
83,1,3,,control,19,Avena fatua,none,none
84,1,3,,control,20,Bromus hordeaceus,none,none
85,1,3,,control,29,Nassella pulchra,none,none
86,1,3,,control,15,annuals,none,none
87,1,3,,control,34,annuals,none,fall clipping
88,1,3,,control,7,natives +WAPS + annuals,none,fall clipping
89,1,3,,control,8,natives +WAPS + annuals,none,spring clipping
